# graph/E11.7e1.0r0.05 (this file)
# 11.700000 1.000000 0.050000
# 308 points
# 116 z values
# 64 (x,y) sets
set terminal png nocrop enhanced font verdana 12 size 640,480
set output 'graph/E11.7e1.0r0.05.png'
set zrange[0:54]
set isosamples 100
splot '-' with vectors title 'Paraboloid'
+2.00e+00 -1.00e+00 +1.97e+00 +8.94e-01 -4.47e-01 +0.00e+00 
-1.00e+00 -2.00e+00 +1.97e+00 -4.47e-01 -8.94e-01 +0.00e+00 
+1.00e+00 -2.00e+00 +1.97e+00 +4.47e-01 -8.94e-01 +0.00e+00 
-1.00e+00 +3.00e+00 +4.10e+00 -3.16e-01 +9.49e-01 +0.00e+00 
+1.00e+00 +3.00e+00 +4.10e+00 +3.16e-01 +9.49e-01 +0.00e+00 
-3.00e+00 +1.00e+00 +4.10e+00 -9.49e-01 +3.16e-01 +0.00e+00 
+3.00e+00 +1.00e+00 +4.10e+00 +9.49e-01 +3.16e-01 +0.00e+00 
-3.00e+00 -1.00e+00 +4.10e+00 -9.49e-01 -3.16e-01 +0.00e+00 
+3.00e+00 -1.00e+00 +4.10e+00 +9.49e-01 -3.16e-01 +0.00e+00 
-1.00e+00 -3.00e+00 +4.10e+00 -3.16e-01 -9.49e-01 +0.00e+00 
+1.00e+00 -3.00e+00 +4.10e+00 +3.16e-01 -9.49e-01 +0.00e+00 
-3.00e+00 +3.00e+00 +7.03e+00 -7.07e-01 +7.07e-01 +0.00e+00 
+3.00e+00 +3.00e+00 +7.03e+00 +7.07e-01 +7.07e-01 +0.00e+00 
-3.00e+00 -3.00e+00 +7.03e+00 -7.07e-01 -7.07e-01 +0.00e+00 
+3.00e+00 -3.00e+00 +7.03e+00 +7.07e-01 -7.07e-01 +0.00e+00 
